id,title,company,location,salary,job_type,link,description,scraped_date,created_at
1,Social Media Coordinator,Connected Creative,"Edmonton, AB",$28–$35 an hour,Part-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dd7Zb97C70zYHonHnJpNoBZwUSmC33Zw1ZnjHsJxTYrzQhB7AOQpiHw6F9cA6x8sr9_fbx_0cj4nZXwnjVuiOQub8Gc-jCiEtuUmsVgskryyGEyi924Q3w75GLZIfAmHlY0keAMCpX1udYkgGW_YpWRTAx6SJjLOXAwIrvDGOJYsXWxa7Pche3J_EPoJb5bpa7ojUfkr3-Fjxo6TbJPXcoK1Bqabt7AoS8hmh8siMYM3NPMW7VzpmYv0vEdeXSRjzQbf0BLjOP74fL86621D6YH2Y_L9W1x46_vWzB8k77LZp3qUoNfp3sCXbJKKlIfShlYVWv5qwa3JPA57df7LozKcWzrEcRe5rUcWX4JpnXjaeFDivEddKaeW_emDBXXzOTAD6IZpsSy7Ix-k83QgqQrgeMJo3lJetl178k_A8SF29hGwE-OjKR4HWtrcXIciqw4vC02V8EiANsoNbLeKvhkVM2zmxSMmgAWkTc19cWV-LuEzdgkqarD6fNTnXohlP_9inz9hNOhxVXYsyz-_4HsUKudr6n5k9xiCE5HcHJKlr8I68OpplbRMRrXBiSNIoDzm9HfVYZiC3FW2xxjZKMxI9LsCQtf8XbWKJt7yH62CyFH8F0r6NBoL58ckTXSfJtT4fdAeymF_dVEFDMVxhiZ_Rn6A2KrysqJ_gRxvBBh8NQGv9DiW-0&xkcb=SoCI6_M3rJiS4nxXXh0LbzkdCdPP&camk=UoKtGZLa3XLliPkhtLnyKQ==&p=0&fvj=0&vjs=3,Typically responds within 3 days,2025-10-23 16:07:36,2025-10-23 23:07:47
2,Service Dispatch Coordinator,Don's Heating and Cooling,"Mono, ON",$22–$28 an hour,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxB4LpVhYf-reDOmDvK463l0gQ2_0O0a4qJMrqCc7LO8YFCLZDeIFj1xYlbnqOwsVE1DmJDVUNjSE0E9_MOyzhNhuW2zLZf1WfCGNnp1DlGbH9bGNwOq-yQ7OuIq6i7eb71u0bwOV4FH62GbwNxU_aPybOpHbvMHg54DtPBqjvh5TYjAEDarDja66qqCj6vkt4DdCdSCuVuuvU9xx85GDIFxzHPMBENOMsyvVj9cpJCV1_aGhQ59bR72mor1Ez6YsKh15A857Wm-9eMdBrYDP6ehzxly_fB_4pwbz4nXjGwCX_2bvGKS4tLxndtanFlhsxMxshDfaw4sr_JJMz6KAwl5n8eFO9fPF4YmvnJqZcZL88hfTvYaKB79qe35DQAHTSSPN8bRZWJzgff_riGC_N6jqyBvIsd91Thteow67fjEJEe97m4pwJWoVjlPAxRXtyplx8wEJts5iJtAk8SPdSFZu3tE1PNLkICzV7dPT7k0HCDusnXc8YdJwVX2W24i9M6PGV0gwXsFhgoN48t7C4gC_xLi-pGpOurAUPGsI49QlMCjSxa6C9EpdplrNzCEQC4iK244-8QD_Dl8SlYU8YcqypDs3UW-WGUMCej9Fee1uy4d9Nvwq4OEdh0XS0mqLrkCwFy4ccVTVqY6gGMp2ZvJ1tSsgvAKsVT-jG3HJSIy8x2jn9rj-x&xkcb=SoA86_M3rJiS4nxXXh0KbzkdCdPP&camk=UoKtGZLa3XJ3ZG6Tz-5Z7g==&p=1&fvj=0&vjs=3,Typically responds within 1 day,2025-10-23 16:07:36,2025-10-23 23:07:47
4,"barista - Store# 04673, TSAIN-KO VILLAGE SECHELT",Starbucks,"Sechelt, BC",Salary not specified,Not specified,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWGV4-yMIDFyUtvL4KY-qlR1pGjtwXobC7fkS1M80JJ3rvvK2LWX_ZO0FJwqpYqKkPnakR__uD4QGZlzrSdvYVc_C_6tdOsEInf442YzITkB3rnkfXrg_mkLYIBnW38zCwQnM0eypJZPbzeuL2ccv95cFbCl91poNDakMSfFc39gNFVGKk5P2prG_u2HOOYEv2y-MvsoIzDUwDOw-OvV2Px1o56WujiKDU6RwBWiKft7wcXk23WYHTAdN-yPS3i9ZnDso8lKIoM45PYSnGG3gRR9ItBBaQ7uSHbR3xxiNW6rZpmfs3S9O_95s-OqMSoNsdsK1usUkcyfvWPpNIRMgjG6XOsDaX4RYzTrQcn7qAKGRdIen838Dc-_QnuyI7xKQckk4pmLN4oPEb4uUqbIFhVwROTNnl0MKqs6C9oF2Q2Gaup8q1TrNTEfuTeu5qlre6_QuAVDA08HX6RCQw8Lhvb3EcZYCRGl4La62aYvSuoxm1kzNs83WtH8ScmQi8MRzUQgG3m1bXd23gcHdMX2XrF49uaCXY1fWNDpyZ2gsBmLcPzThOqIBYNpUChfIzdnQceMJZyrZUg0k5LjfWenDLZHLBWvbKhRpmgifrZnIKrRTyAlpBiUgeS6mYNosWGdhGD-Sklmn-tsUHx2zjRPeTQRnez_ILZQA=&xkcb=SoAV6_M3rJiS4nxXXh0IbzkdCdPP&camk=UoKtGZLa3XKYkTjtzDQqJg==&p=3&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:38,2025-10-23 23:07:47
5,Préposé(e) aux ventes,Canadian Tire,"Amos, QC",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyM18hBtLUb8BmdDVl2DrtL-dTNzYcz8oS6UQLVeAkD7i5RhKWtkKEJ8WFSArx4L4TU8lnm-KiRzjJdrhs1v5IGwJEa2J3y5qAQzvBsZOnD015igmUJS2RbD_eKDkkFsw19XAfDk3OsyBigM_TxbYWaREDLNEPAJbSfMkByqqWMcv_1NejIcwCxuHvDB2HmMd1yGN66I13IPcBqapnIkhcP71w7TPE1t2BnqOJ5F2gO4Zu4sZ972iEnegoc_xquIHM02_mOnnIdOeb0qZiHrOe5Qf90NcysWjZX9aVXrCrnK-DvZ4R46rQvEhlWnviQ_tOYNSP5TPphAx-M_0ox6ISSQkD-UNMIrRAjsquKedxOrZgUHty1aY8xUNMy8p_e6OewqJItep5wVgLsqSqFi_B9QnM4jIBTVfnaE4I3ezUWVdbmnwDjWJW2oBgFT7GAKdTCfUwWJKaPb7GgcoUxvnfkK5AL3Zbl1xDfTAl7_2qvGCc3D2UdQr2tEnEpgY5qDVHUicK4cZ2Uh2N8CV8DoNd8QZ3icjxfxzwVKRlkePllZdgQpudTS3y-DvU3XQbSA3czO8KYtBQtgu6_f0c6Jhp5MrU_qMybfRr4W2EaM3sVEZY2-QOPh3BBaf2SHpKwvyJupDmvks145K1wV2Bkj5FSKXwQdiN7l2HS8a9k8H-fi_UFHhHNhlQRsCUcqKGSr5fwyNOig6lWQ2u-5ZGot6C8t3n2XSAXcHJSHVnm7mehvdmbkk2zeM9&xkcb=SoCb6_M3rJiS4nxXXh0PbzkdCdPP&camk=UoKtGZLa3XKZhd0XTD-6AA==&p=4&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:38,2025-10-23 23:07:47
6,Train Conductor,CPKC,"Wynyard, SK",$224.65 a day,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE0TlGCUyT59J9S6XYJi8PVlJmtLBsU6BTeRR8-_eQvGtk7d0SPicbQT-QfUuJB060wQZ7RVyliSkTVNQnuxIXJte6hXqcPLL9wznQ_Kv_M4mCgtIxFg9xwXtvliq05YffvcluRjz_bNqBtDBDZLRkttN3hmeFgLloY_f2jyQBdeYqVMiRRLQOxNpbBen7X2Xnsxu6WMAMrgOSfWV_LjYSl-5EDA2jJqSRUZfj15V82oxLS5X35CM_nGImkcbkSZY517AUPruLsAVroIeRLf9Qgm9dZRVG1SbVkKhNVC1Z27FPyn3J8iUjJPvf_T0VFdDx9kk9BtI3KZGWN-4VC2XO9AxzCjTtkoBZnmijwSqWaEAolGyJE9UBrHzMBaoy0mwEM4X4DHapv7F5TBMYa7kBvYkvdfQpvPBHGJmaAB31oF330BRFLQtiqR_06ScoISp6Nh0bb0OEhH8i3YIPwlVCzqGYH51v5KoUM0JKDyaNHKEkeQeUEqHEoNokNt6iZD3RA9mt92BulDNu3yG5y6nNHKPAZ1rmmDTH_RNj2SwP5IyjyRxqMJCQmqx2cfqtiKmseHFvMvQtAcQaIkA1RllpKhHeD69c-f99NxxZZaTrNzooYU1na6MjAz8CT79JBGGSfcyj-9NqafXZtsiQuYh9fmgnfrga-utdvoRR7BfMfMPRHuKz6ZdSpsNVDtwr9yp4jXKpVu0QaF3M53KzOe1cvwtI_Tfg21khrll25ysq8btAlDeEyZ9f&xkcb=SoAv6_M3rJiS4nxXXh0ObzkdCdPP&camk=ethIe0s0hectY4iGM_pHuA==&p=5&fvj=0&vjs=3,Typically responds within 7 days,2025-10-23 16:07:39,2025-10-23 23:07:47
7,IMG,Cardio Health,"Caledon, ON L7E 3Z1",$18–$20 an hour,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVND6_x9jm6BId-Xeo8eKXHz80HTIAkqG0RyMTfVgn0uAprJOmMsCHY3xx3V9La4w9BZiw_Y0u3un6fGqKWyIPBHNT4INR_8aBUa2xcBguUZ31I2vgSP3k_-FnMt2lIaxyjYmQ78x4JWnKoTkb6LV20KAU3Xgq8hxPbwZJ28S_jDzwCR0CQNQhoooQNKVHmJ1_7Xz07WlveI4dNCCgi6Hm3MlLFdVvJo1BFZpPckwxzzM_HbHt5fZovEpw5Z5SJqAITPjYN_ZUh2eH9DPbGoVx5JyR_BIRlvI-G_DvyFnx006YgPQMNGNyudqYADX4vcAbeWMzU4cnDAukLTIReXb_TPsR8vqijkmHPNOly0oUeTjLw1s1kYYQU6Ybxc_JPfFD-0ShU3bM1DQ7wTpkgK442V9H9iQmqXyQks5DVRD1LcWOsl1bYB_sy2lBEyHlTk83FAeZ5j6T4sA-2FJWKjV1VY6TU6OmntxQyvO5RKKp626Mfn32Sk5AUIgJSwCdhkYrsDnsMfxvIJFqIEFnJCFc30rhwAh9_EO7uPNfbvW6kFMvlCwqLaZRjeaTX1kMSfLyq389wA9yTWaMAHIh_AT2ftHD3FHi0Lw2m-m94E6ixM_8YohnySQh&xkcb=SoCy6_M3rJiS4nxXXh0NbzkdCdPP&camk=UoKtGZLa3XJlObrJg5fBew==&p=6&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:40,2025-10-23 23:07:47
8,Courier,FedEx Canada,"Saint-Augustin-de-Desmaures, QC G3A 1S6",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DEuRmMtG2AgL4vkMBWvi1h2ZnkFOLFdS9txcZqOUEVVv6Y8jXCSW3_DT3_-MKwVOR1tJb4CsqS61Yv08Ne2xHC8jckSeFdv6KXELlA7ZUlyCp7pWQQmObjVa4id-3MmIBLOYUtg3cKfWESV5eQqAM1cKljQrpJGiKg5ZPabbSLbIlpSdz2UvvWvS6MfCjPfR6z-1XKOCH2H-0KG3QvB6XUJjOwHSBPfeXAN-ntcO_xuUJ4ltk3NY_tWeTxfWJbjuB4VzFfYS6QuMk8GlUTcDIm1lAnWrF5DXel5kLCJoi7K8kjayfr9lKUxJR51V4CwukKnixil6Db92Cl0JzaDdPSe29G3-xql6Gw6uxwU0VBAOVsQPajb27gxGBtlvJmKTbEq_M_-IlP7DU5No6XG-Ajcx8HtaLhfaNmhFbF7Dex0H5xNfF4TeMBdeCMx_ZL3fVdw33UYtZU2f4XBU-oDixz9pUn-VaRq-vS2Zz-R2alrd1w1JNhzCjtdcFNXyipyHESviSJT3IE6RYEkJajqgQo0ExUAsH53TpYGandgsDmvNptrBmWiShri_4pw8FHUDo6Oe4tMbvBESg6zKmme4-uxWjOsRCdYyXB_EJlHsmv_tJOei7zqJ_cmlKq1ho1lRy245Ms6SupAZH8rfnXwO-J8GAvOfy-eyApgscL0f2oDyBjM0Lcqcie66sdiO3vEna3YBkZFuNNtlktjo1SotiNbyI55G-2uEfRzqVloI1dLjGdLYCmvPzczS321T8rS4U54kkdlog2d5pYuFfN-UUUO2-KdVOFEpWhYTvwHJ4acw==&xkcb=SoAG6_M3rJiS4nxXXh0MbzkdCdPP&camk=UoKtGZLa3XIc-h7ySPKWYQ==&p=7&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:41,2025-10-23 23:07:47
9,Préposé(e) au comptoir des pièces automobiles,Canadian Tire,"Dolbeau-mistassini, QC G8L 3S4",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyM18hBtLUb8BmdDVl2DrtL-dTNzYcz8oS6UQLVeAkD7i5RhKWtkKEOzjJ3pPtL_78gRPcXuOEmEureodPY76wXWyfHFrG2Ds1tUj8-1fmrpVuDBcdT6ofqxmYAe8D1WMTxZkLNzoxjv-gR7WdWDfSpcH9PL9oVozn8hs3qZfTlozOZkCJ4aAxNk6pdcEOugjfi2h4regAOb3nOsa6LwPvQUuJVNLhttVUf_y_ITh5KqJpztmS_2ulA91MkGSrEw9vphveOwKuvMuAqsAfXjPvTe_TObZ3jSIfHjtC-yqpYqvPlxit2pTZjQVOxwmyOi9A8_gvzwvxAc35l1ZAS69Gu7T-SEklMNRtcsDUBPIY74MHWTMbMLGWbpr5BB9TV4vGB-eNyQEmXMOwiIATCJqdQZGXOcV2Tfi4JRUPeZI8M5uTuAaXJNYQD5DJNbm9fp7CuMwqm47kMiOp5QPLidv0_lmrSKvUrA59XYjNYSFEBXYK4GRBI8zN9Er7lGb6cVCSsA05_1matraKXng-GoEA9BPHCPaa493D4Zsjalv4wux9_oF3j8G9AE7-z4gSVXGBl2VbzzhLcwoaQOoaiw3N-Iis2HBXh5ZjFYrwWb6V4cWoQXxY8PxZl5WXdaVI3yGJY7fa3UE4KfyN_v1LCgjTC-xM3hzMUd3zZJ_U_9YVC5oL7Ph5xWSvsEJoGVntvr1lH9ilJDB0cNEmOiqOyJdoypnjyFBoiO7W8UssPzOHlldKlZ3wRfQ1&xkcb=SoDv6_M3rJiS4nxXXh0DbzkdCdPP&camk=UoKtGZLa3XKqgEJAIMZwNw==&p=8&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:42,2025-10-23 23:07:47
10,Squamish Courier,Fedex,"Squamish, BC",Salary not specified,Temporary,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoBX3ehfncLTAX-hvTL2lXlVTLV8nn7wkIXRZqSywaC8ZGw6cy72DVcc3MgW-MXxVAGhtRIm5b1vgwQ0Bn-xZXgChF218gn6U4Opd81wIBZ6OZM0zQbPFvBftazwYQ-J_1DHn-hXPB0Bsym-FFMltmexu2ch7rKFcOc69BiW2xTGu6PReEaO415oi1w4zhE5-89LbDudBjQRBkArROpDwjpjth_CZobMzr_rtVRUQqWCVenMLj1yw-4OZf_RnvLdC-knNpIVPN9G4Nm0Swz0NJtgEowvxqkQbpoZSqA17XUFARVNkORPHzVKtCOzNISdxLpHDadXfm1Xh5BT5WgWspeVEHFbkvo1XHU60MSuCvwNgzHw318GLGs6Je3J1Ff6IqfA8OYyD050Tf4dmnyXBhwbfEgcACEW0v3DavL7mYuGifv28HS_e4Mf5OLtBJmBFstqNgSm_bH_yS7a08kejBp8AiuTTTf1KkowRIW9bh134IdPGKSyK53V6lH8QhV81jE-r2BCXFPLd9VJ9HIGs3596Lxp5wu1Yuo2TxrF_fJ714SldGDCFHlAt5ZfiPYQRz2vSpcSdw7vdPwsH2l8Yq9_V9aneBzCKb3Re7Jgpg0TN9mMtDeOYkyk2Y8c7EbBgbYwXzSbIQ3JPbb--Ccu1W7-i-XX5y1ogXOhE3rmd4b8Axp1nMjspXiNIgJYxm_1snWBhyJV0C2WQeterM3Km9K0v0qpxefeG8p7q8uUBgIcb8hkVDYxBk0tRvoCHNVAt-HuETdIR2RZdOr-kdcrIzWEUn-ec6oLkBrD6R168nKn_kKSDnYjbxZ9zCdXmJI5PPQ5J_O-S4A7upjzoJalzfYgqGyTyU1UHTgSPugoZhobofhCUDICF_o1ZbIzDUFWJbRbP-6A-m8R4HU2xmTWqcMO--QImTLKP88pTq6eZxrhY9gve51bc2Mq-Xl7-vUGG3JnpOG50qQ2hnvj6enn2stxiL73qcg2QxeF695hNcIadkHpTAYgtWle3yXGQ7LaQ=&xkcb=SoBb6_M3rJiS4nxXXh0CbzkdCdPP&camk=ethIe0s0hedFyAIaBOaQcA==&p=9&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:43,2025-10-23 23:07:47
11,Courier,FedEx,"Quebec City, QC G2E 5H5",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLoHr8v46JjMOh8SDCojy6qtrk0Hn0sP7ctk5NfORgTCNQSniFbJtfxjaTabk7s_q9ygbTDVX7J-tRh-WjJA7Y1-4g0b1JVUTNjYDPjkpgGSJI_otia3C_hvQkrO-PlG-MVfhkaveTgarh-HDo1pogzaqcSf5mMlu6YHgkGCkbMBXwx6Li6gR6PC1UUOBJt1a2mFipjO_8illNIOqq8jpB1G0twNTbldlgVRR7CyNQyQDykqvdDqEuqLUG8raOywdQGXvtHxUX-fDQCrtp8fHsfgLq8VHFyAMaISLsEnErACoKnhGIpkOCA1l87VR5qZzJYTlD9Tc_EOezWSfvnD5C-oAQ67ldRv_urlrM56zNkHNvD42nsQkfDcW6Wppdx44UZZyBy8gKSK-K8yXcry_8yUn9uUxGYDMsdZm3EpwsWcx-1HTOZ1ijrWVSYQzgwJhe2vKwz-pS3CCv4EiCjGvvZ_mpxEgTyXEAY-pQis2oR0D7WDqS1gB9r4jSah2MLdEcxEet_p7rxVMqHjGkyLaTSw_RGCepSR7M2QFgBycrLTOBXWvffRkwI855_C4aMp1pR8SiiFtd6lcbguLg3gLp7y7QZaf00WdeLXj5FWJpOuJo5r2g9zlyTfQtyVswC39oq-x8k7yqwx5HqSei52TPBPQdpipCqyz1bgXJQGrOrjby3ZbAyYlLn8XSuLkTYncVy3Rd0R1pw1bGtYFAGrAXfkVFmWXcjdC4BjOXuFHBt8oV4p4isiFWJ8ymDC52SuuQLVyt1gILtw==&xkcb=SoDG6_M3rJiS4nxXXh0BbzkdCdPP&camk=UoKtGZLa3XLzcAw_deSGCA==&p=10&fvj=0&vjs=3,Description snippet not available,2025-10-23 16:07:43,2025-10-23 23:07:47
