id,title,company,location,salary,job_type,link,description,scraped_date,created_at
1,Invetory Counter,Bannons Gas Bar,"Thunder Bay, ON P7J 1K5",$17.20–$20.00 an hour,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BT1HSvhwy9SYq8TthFlVyItjDZNA-o74K6cD6WCBpcb8FOjdZ5ZW60fSJXwg6ECZitzIDAv0GKhMr3E0W4utz3s72a0m8JRBjzYVXUFHZ6rNzGHnl43vxmT0pXWUViQm0hzmrnZ_IA2-4tWuy00qMVt9TeWA0CJ79S5WUznTQBnhhw1enGzwaypNKOmmcousL5SUNPfXYxsDunvvL2FC2r6w2sDa5CiVm7QVqXUWgDXCQXaoBLIsYeS-wiEQLUZGL9K1q94ul3Ol8kKEQimSVohk9OJb-17JXaR6RrRDTGycLwjby0XDXnUQhyRveYA1FDKadR50Jq_YTrT0-O30BVyU804rnQnZ_rc-RJPeX-O0KjM1oVvd6o0GsWzT2wARn_s-yw035IZFgKphQuJxUwolBLADpPrrGsv2KHFmZz5r0zVBOSRf62kGK5ooLkQLIKzpRexgpC2Pa2oU31oL-eKnOPL-w5397wBzy8Ze2GDTDSEIlixC8ebkG0Zw5b5GthHl86_zG1X8yHl0rSbvx2Sjn3bayCVPvYf81LvdFs3Zsimfeddehbkrz9EWFp8eA18MFaNeNwz0WG5YYVk4eL8XDfNjvHSxoaFdM6esP6THLywfrxlsZ2U0OuhU9XwUFhZqapb4QVtA==&xkcb=SoC56_M3rHrrlQTSw50LbzkdCdPP&camk=ethIe0s0hecQtz048IzDOw==&p=0&fvj=0&vjs=3,Description snippet not available,2025-10-22 21:28:44,2025-10-23 03:28:52
2,Housekeeper/Cleaner,Genie Clean,"Williams Lake, BC",$21.31–$22.03 an hour,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3dRsplEMb8SOEOaO3rvwrNfwuWiVJyBln2-eggzlIqHtRI0thtHFgqhdWgIGDMGx3RV299e9H5P5QE1zWs7vp56EeY3hUVDTPCHp1DvDWZhaJMwlTMJ01z3BTBGy9AV89q5qT7LU4QT8OS3BTVwaTNjbhHI86jCfR5KK_-RnCsBlhMORdP7kKOdRvr7tr3V_5kffqhaEinLEUdVsKJogmo9KTW3UTSguAge3sbmVdEAzSYfvpax7OK5kMkiK5k5Q0Kddd8fUNdCND_EQyHEfzN0odwuHIJi9S5TJ4sQvtFbqIurcirVRwRxRa5GoZtuIDTpyzCMPUQxi3LWFV0lxMLw6ZNXj1TeV4FgFAqEnm4XvLzRHyQO2FiZ--_xmrqlmo02Sd6KFCaeJI-9isnuN5HR-hrj7ODFfRec-H-jqx0kkwbRws-ZgFXXvKahCcZ2FQsI-0Zmjb1IhJsvFsb7vwqTo3ppMfjD-fXt7_9FP5kjS7iOx2kfgdgm6e3Gf1Uiy0QAT0qDeb4l-1344mN0xza_Di33VXj5ub9GSqSaVFVzzQIKPKdCWCfasiJWnobk1k9nKKOvMUCwLIeMuWiOfg7vVbtDgWyxCniffVMpX3hYp9X9m_wrhotc5gZbyaeZtLrAbOZVv42OxNPdx-RsltiDe6Y-gjG1r6k1Wu9pSYBdopnlPZIRTx7LGEpkWblaA=&xkcb=SoAN6_M3rHrrlQTSw50KbzkdCdPP&camk=UoKtGZLa3XK4losdl87bFA==&p=1&fvj=0&vjs=3,Description snippet not available,2025-10-22 21:28:44,2025-10-23 03:28:52
3,Journalier d'atelier,Ainsworth,"Quebec City, QC G1M 3X8",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CiEJNW0f8mkhKxJjfpFtQtKrqzIwW5UG98ZUYIw2gumnifHj9QDsifCaoq47y1qBL13MTcBd2zs1FBjmEOREEdPUgl_ZXfS59qAJM8TZPti_mI7UqkKH8EsesXIaAbfUZBToUrqqlJ-T3rJBudhHoAOoFg95oXBZcn6bQHVamcvNZVqkONyTugCsL4WRWE_GS2VUoBAUvPCtJnJNfN5pBcnHDA9SenaH5_wMeAxA6yaZclOx-N9K_NWWANECMg5aqQTbYHviMG3qx2eZE_ehfnseGhpJ1JkNBEDg-ETtTtekACfa-4qrbbbIkrqmkmuOcw8U27oRi4StbWwN4T6TJm22PtX6tdcXoQW3dH3RAqdwBdOyz_WzpPdpNERywQD51J_cyPeCGJl270a1XBR8gI6hh4wl_Sb4UeH_r-6aVLtf7KjMqPSJfqUpcV--1awOXbY--vX-QudAHL3Ilk5v0XBa1Qa3Gkh1pWRv_5mRHvL6p65XK-Yj_8TrLl5BnawtiFKE5WHjchBe2fkJ744rQjcPqZ0Pxqw9A64xBJX_UXVr7cWP_AKb2HV9_l_H0ok35L8BMQJRwEtgPitFUTbfn2wsPeWgU-NnYglX353zL4WU-ZwB5GUDRuGa9sXuBq-3ncuN_wZkDQ5wTcrMnohX2tUmOi6c6MVxC9fG_LSLod0A==&xkcb=SoCQ6_M3rHrrlQTSw50JbzkdCdPP&camk=UoKtGZLa3XK8j2euoQzMVA==&p=2&fvj=0&vjs=3,Description snippet not available,2025-10-22 21:28:44,2025-10-23 03:28:52
4,"barista - Store# 04673, TSAIN-KO VILLAGE SECHELT",Starbucks,"Sechelt, BC",Salary not specified,Not specified,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWGV4-yMIDFyUtvL4KY-qlR1pGjtwXobC7fkS1M80JJ3rvvK2LWX_ZO0FJwqpYqKkPnakR__uD4QGZlzrSdvYVc_C_6tdOsEInf442YzITkB3rnkfXrg_mkLYIBnW38zCwQnM0eypJZPbzeuL2ccv95cFbCl91poNDakMSfFc39sDvRqzmUwz0sRDBgD7A_tw_neE7Pm3P5gAmtvjearXjsdaBBQxRbQsbvauQaat7vsF1XpI9ByY7O0SEKdwp0G0Gc7tRQ_6uIW74Jt7TQnZdax5wOP-rynQCoAh5UbU8G-raQ5em0IzlLlZS932-y9nyPxcseBLZC3VzyldFd2HSopuZCsbNpyL-Lw_baeCdwng5lwKE0sq2ls7JslgsSfox2YOKfnS0-hXvjfIs3u2F1Kk0ezm68BqJRmwSr5bHM46MASbfBtlIowObdHcdyTQu4Q79zp8as7HKdOPmxQan3WFI6qS9IjtIL1RzIfCMYcvHYQ8wxIerluJYGc3uMvsBYRlolkxwtuN7QvX2FVpFSeJ9fWCoh5SdOoH5betjcEhKpV2vxO7pdy9vBc4m4GRBXgJ_J4ZwfcT7zWETj94pv4KZsMBCVRTBVgs9F2Y2iG-hD1dCIqcYrsWVqPOeDOSOmyepEvWo0wBbYAGV2IxyO5LmBGGzEGA=&xkcb=SoAk6_M3rHrrlQTSw50IbzkdCdPP&camk=UoKtGZLa3XKYkTjtzDQqJg==&p=3&fvj=0&vjs=3,No experience needed,2025-10-22 21:28:46,2025-10-23 03:28:52
5,Train Conductor,CPKC,"Wynyard, SK",$224.65 a day,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE0TlGCUyT59J9S6XYJi8PVlJmtLBsU6BTeRR8-_eQvGtk7d0SPicbQT-QfUuJB060wQZ7RVyliSkTVNQnuxIXJte6hXqcPLL9wznQ_Kv_M4mCgtIxFg9xwXtvliq05YffvcluRjz_bNqBtDBDZLRkttN3hmeFgLnAVGo6ovnDQK4teT0zv0C0cPapYrXgcuSDdRMsDZMflrymZeqZXzK7FRX3lXZkPyi6x2QZrlIY7JmY6Spx2Ie0P2p7hJLTIy95QtCN8blPLlvaZgjWN1e_Y80A_Ovr8NT85gVqPr4_F3HGUHAoyDJzVQOf7rXS9IVVGsprEaS1loOz35SDtFfGArBg5b8sYabNZ8v0ICrFHAoXNkakeTvsykyxpmssYG15wOunHKgjgOeePFKA573hq9oizPYZHdoC0aCSjFWpOaiyMWOgbSTyULB5lxSY98TVAE7Jkga_l3XBGoHYS63X2Di4zCeynF1bJqycUxLPfeRbU8EKCepz--DeJnbUviV0P-yz1h43JYEFUe-saRxqFYItzyWVtaEGGN6Qaearbfz1abJP-GeFXfvHYJRNwBeycH-E7KU3enJX4x-u13Ce9BgdUghErHax_3DnlYXbtvrMGBE6nxgE3_3-4E4HGVyvj96ZIpg8IdQQBE72XrObDE3OrnumGLx5UNlOu0SdLGBfGdRQXmbWVWcTRAOF-W5Q57hvLSL12iuPaz-_oOaxDU4rW48jpYQ9u-KCdBt4HFzcsmAfJprh&xkcb=SoCq6_M3rHrrlQTSw50PbzkdCdPP&camk=ethIe0s0hectY4iGM_pHuA==&p=4&fvj=0&vjs=3,Description snippet not available,2025-10-22 21:28:46,2025-10-23 03:28:52
6,Seasonal Courier-2,FedEx Canada,"Quebec City, QC G2E 5H5",Salary not specified,Part-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoBX3ehfncLTAX-hvTL2lXlVTLV8nn7wkIXRZqSywaC8r6tL9sNyaJDjDeBhHXRg14GT6rC9_Te_IZNoggi28DkcYtLZvMop7TAWN7lTkioRAl_VdXLICOQJ9nTbcJE7TQeQWZQUO2dbJnqYKrmfDWdZVkKOZzHSf3YQMseAdQ-zbsmrLQF6KjWN_Df7T7bjffr8iqjuN3dun-5UbomCYVzdRa4oArBplp7JnLK8G9ytQIlfoCToFXiY2JsObKJMqKhA8GDurseksbqKfH6Dhy0wj9OB7tkpnSRzVnuHFXK2iJ_-bhNGjX18_Da9gBsZfISPA6-H6z55zdeZM_GKB1ONNT67IylSvbmNP6C4jCcv_Gh25Fed8QipzeMGOs6TV6rqR6QYYXV3u8mGAjbtVxFuzKYzC3fcNYQt9Dxw1LtnbcpGfNJ6blZYJAEdowzobuI4t6lm9K_kHSpMt_BP32Puhsk6jQ4TzC6qNaHO8ivL7piclqBDyfU65SsK35htpMwokZYUBu55Y-_RKlzRab5z7dUUPfetvPA5SAe0SiGBbwqNYJND9A_oeOjnQdzAHr10GMjtLPKfvCl-MEPOLvqJ2FiUqNnTFBJG2ZW4Iz4yq_WWUpfQRbtRR9MGlUFKt1psZlyymnFY5TwdnGuTQkQZOjIl_IaT5kEFK12cTf-VkaIBxj04De2_PqI0NKDVaVSU5AYZv_SY0n2aFfTtg2pFsaaGtDC4aJs7yFB5Yu5w2_z9HTuIEStftzXX1KKvnQlR5XyUN9_UcshZfxXV5vpmphrmS62MymAf_28vjfRoCeADvsZz8T_K3lQ4tp9cewfz5hFJRr-yHjqt62fUcqHv1mcgzwg6veZTIYK7SywRJM_-Lc6zoHJcyy6JNOEu3YqDIpn5gTq9bFtcFRBHAwjcj5zX9lf0QavFbDCCaEg2ojlosyXhoBKO8yR2RpcTJlYmhaOZdwFtfCVD36shXbCd9Z2WKKmqDECSF4AKbXrVMXPO9MQ4z_AMCgSesLUvA=&xkcb=SoAe6_M3rHrrlQTSw50ObzkdCdPP&camk=UoKtGZLa3XKj3OckiNar_g==&p=5&fvj=0&vjs=3,No experience needed,2025-10-22 21:28:48,2025-10-23 03:28:52
7,Train Conductor,CPKC,"Revelstoke, BC","$85,000–$100,000 a year",Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE0TlGCUyT59J9S6XYJi8PVlJmtLBsU6BTeRR8-_eQvH4zi8fw3dzMm8RoBRWT0aATyKi6KyAdkHMJYpFHMm5WWQRWELLFSjOt9QpaZDVkSCQ5VH_9B6oVaXSEgbyFwINdNntvi6w59iGF-FelTmp_fxLkp2pZ2P2gtUuYIw_ktCHDgCaDaEdVJKzp7oO9znBR99oIDVSnzDTXQxei_moGU_w6hzkFPM1n7cxDYnIxiviSzOtxNPAtqBDdEX1_U5EY4Ggllmws4M5ycelq4-4ysLV_S8sl9N8ZLQe-yfyg9wTMip8_h9r06fzfD_0ytgmF5aXX9MGdx7pF8dBh6idPBxw3xHEV6WF9ao2-_BKdkMS25JvtImm2hoNmNgh8jY4op_4dCIL99z2lxEOcDdiY7lCfvXj9EjLsnzwgr1S3eqzX5t6xFXH8zCy6w_pmb0q0jwHxLhPLn1CDlmZjhDLQF9uwSnE0NVSWq7RAwD56OZbiU-LKY9_ef0nlYuFCP7UST9wuTqkUvyjm_CMDsdlmnWwiviEsRP56QRKoNMkDnAYAtBOatBfWp8hH_jd2N3ZDeDOXuRiIyEp5v5F8ile5agvs3aZFGKkS8dydcVDLoIqmNywiZQk-I-zg72YiuJ5mZOZRXGwJ4w==&xkcb=SoCD6_M3rHrrlQTSw50NbzkdCdPP&camk=ethIe0s0hechMWHQplVIFg==&p=6&fvj=0&vjs=3,No experience needed,2025-10-22 21:28:48,2025-10-23 03:28:52
8,Squamish Courier,Fedex,"Squamish, BC",Salary not specified,Temporary,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoBX3ehfncLTAX-hvTL2lXlVTLV8nn7wkIXRZqSywaC8ZGw6cy72DVcc3MgW-MXxVAGhtRIm5b1vgwQ0Bn-xZXgChF218gn6U4Opd81wIBZ6OZM0zQbPFvBftazwYQ-J_1DHn-hXPB0Bsym-FFMltmexu2ch7rKFcOc69BiW2xTGu6PReEaO415oi1w4zhE5-89LbDudBjQRBkArROpDwjpjth_CZobMzr_rtVRUQqWCVenMLj1yw-4OZf_RnvLdC-knNpIVPN9G4Nm0Swz0NJtgEowvxqkQZqn6nhRUJOxaGdTBup-KjQjwPnIXkka_GbDF_pFFwC66aZNq0UFpwY5EeAMStEVhmZJ3QtQgGKmxh2YG4ZNOTStNupJdrgT6vY0uZfgIGB8VeYjGQkfLvwqAN6DuG-nAtXyRB1esPOY1qrwHMtHvVx5ooS2YsodB-OcRzGdwCvKkQOe1satiNL4uh_M7YGF7s4i1ZZWs9akEIJd4KEsFF_O7qwozmly6-HPMBqbFW_Ae7sbeyQ0H2FCDeB6PUzDIEC2-3aQkooYnnDWS9wchnD-OIaXO_QwmsyeThudqH2nXoavu4tya5zVJ_JLbCBggXGuvuVXdop7CPpgSTHrQMlpcjUmb7-SOF8ZIFTpNT51xiIS_JewdKXNtcj432F791NApdZM6Zb-kBx2x2l0jyVYB3rDywNefFO2tRH1aH3TY5FsxslykZsfjL8J10IY9TCRIUHy8PIif9FkGtaMAuP8weq7nl-DbxIicFIn0gRaYBQ7xf-26Nu-nYkN1yE-Oa1y3vnQq1eU1lmt_PkcVWJv6ItEj-vaWwV6XzWeuh7HFAKpB9hUdtyBCJ4_FMdDyIRIClyWE10PnuqQYDBaUIGqkCVgw8bAXJIvHnkOB6tjtavTxbSx56QpwGY2PTgaC2IzOCS2-OrLrXNBFX1NUT_3FEsSQUYpF8GBfvL3Y_woqZaxthTUHnFstBt1K16xpKYoogHfQZwiF9xwO2QBbf5VBICuqtOChM=&xkcb=SoA36_M3rHrrlQTSw50MbzkdCdPP&camk=ethIe0s0hedFyAIaBOaQcA==&p=7&fvj=0&vjs=3,No experience needed,2025-10-22 21:28:48,2025-10-23 03:28:52
9,Warehouse Associate - Days,Uline,"Milton, ON",$30–$34 an hour,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDZo2mXf0CFHLfHalKmYZPV11byvujCiBYRlvPOMRW-yZsrWnltlUW9JBf0pj3pGYTPp-WermlAa0aw_xPBuqtTqf6QXE8MMoagQPW9GV5jzCqfbWiPzel2qeIdj4zegCd2oOIPY5NdeSQcyh-9KnWvbmKyk3Mtf4QPFnNqVw8dFquGE5mMxDId6rrCJyPNo-2BQmQ1-gw3wg6I2beK6v1durLW9IjF9JzsC91uwYSZdJYZ1B63s8r8KkElTfxw1h8EeVbpoWlb2s7gqSTNnhG7WD4GxZQIynM4OYoaRPALOxQYwKtpOL5jGViFWz5rw2Dmp0TISZM7oHCtC-YvLS1uMZqPw-ugxz5nvmqR5lWaFOX7ewDrTAHoXAf2owkSAhwjWCuBePe7fSsjETuIvGYUPRXcwSMFYRy2rnQAe5Hqw6B7I6jANzepUxasWM0zGmijlHcN5PRaf6HpX5wrpPDXf6SbnQGSQboihuMOMr-0Cv3xvbsc50VdVZEs0enb-b7snDWIs1wjW7ik5mYDGmc0kk-Zuj26C7NYE9kYAhahEDb0bAmMyahQBYMUrkC03oiAtQ2mCtebHVpkM0Y4qn02pq4twsGTeIDKDugeB8uJ0z9bcTUkU8GO6QfTiELw1D4tvQOgSvMMJS&xkcb=SoDe6_M3rHrrlQTSw50DbzkdCdPP&camk=f416UQcMBpAwrJhunINBpQ==&p=8&fvj=0&vjs=3,Description snippet not available,2025-10-22 21:28:49,2025-10-23 03:28:52
10,Préposé(e) aux ventes,Canadian Tire,"Amos, QC",Salary not specified,Full-time,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyM18hBtLUb8BmdDVl2DrtL-dTNzYcz8oS6UQLVeAkD7i5RhKWtkKEJ8WFSArx4L4TU8lnm-KiRzjJdrhs1v5IGwJEa2J3y5qAQzvBsZOnD015igmUJS2RbD_eKDkkFsw19XAfDk3OsyBigM_TxbYWaREDLNEPAJbbmeNYrjC0hQ32iNM5ckfOoHLYlBE6_ygTM5vfa9EflTCTDrPyTkCJFFZ_vpWOT31YY6Um7L0V-DNVXMC2VdT4NiGGRNQuMKs0HsE0eIMs8GVXTAEZXmYwAqrIwPCa7KrJRdwusqVeNu83n0suwTw3RhAKOXlghAO6SY9wWFCw6iRT8H_3_OwDYYxLKzWJzQaJruCx6eK-4XJxk9qqF9EM14-_vthZfRLZzCUEbmzBkOzT-FN-LPglIIu_LFgxv4BiwS_G4LI4qX_zjwlINP6BfJp7tw35zwEPl38vYBnFlfi71SCOXH6TYT1Yx49N-N_v_-aCFlpzkxMe00TVMlnnpdH9GjHgRna3ORvOOCCr17Tn3fmptsr3I-Lz33R1fp892UiUetgwTC2AbIvI-RDoR6G5CJYxasFT8oMWyNNzz0aEMTglq2GLgOrQvxUHWuJRW21BRcNtLZjWMwIC5YHP3Nz_wCPfjexAjb-ue7t4Sn50wxs23Tco74TrhApvtD-n01QCC6Olcm9Swnhb_0rRAm4tWcA1U1qN4Bo9o-9a3JKPFAplQrh_BRw_et9iSvXoq3KiJcxRFdEUgivMEKbn&xkcb=SoBq6_M3rHrrlQTSw50CbzkdCdPP&camk=UoKtGZLa3XKZhd0XTD-6AA==&p=9&fvj=0&vjs=3,No experience needed,2025-10-22 21:28:49,2025-10-23 03:28:52
